"DISTRICTE","CODI_ILLA","SECC_CENS","BARRI","NOM_DISTRICTE","NOM_BARRI","AEB","HABITANTS","NUM_PARC","NUM_LOCALS","NUM_VIVENDES","NUM_PARKINGS","NUM_ALTRES","SUP_CONS","SUP_SOBRE_RASANT","SUP_SOTA_RASANT","SUP_LOCALS","SUP_SERVEIS","SUP_SOL","DATA_DADES"
"07","28171","??","??","Horta-Guinardó","??","??","450","48","415","216","126","46","23635","21039","2596","","","7118","03/03/2023 00:02:11"
"07","28181","078","37","Horta-Guinardó","el Carmel","148","182","17","99","79","0","17","6324","6061","263","","","2488","03/03/2023 00:02:11"
"07","28183","078","37","Horta-Guinardó","el Carmel","148","199","22","165","80","39","34","10623","9117","1506","","","3956","03/03/2023 00:02:11"
"07","28189","082","38","Horta-Guinardó","la Teixonera","149","0","1","0","0","0","0","0","0","0","","","253","03/03/2023 00:02:11"
"07","28190","078","37","Horta-Guinardó","el Carmel","148","127","5","213","75","107","29","8533","5400","3133","","","3367","03/03/2023 00:02:11"
"07","28201","080","37","Horta-Guinardó","el Carmel","148","214","22","127","86","9","15","8164","7831","333","","","2229","03/03/2023 00:02:11"
"07","28202","078","37","Horta-Guinardó","el Carmel","148","687","37","419","251","83","40","24885","21740","3145","","","7062","03/03/2023 00:02:11"
"07","28210","079","37","Horta-Guinardó","el Carmel","148","505","23","420","234","111","61","23661","21207","2454","","","4995","03/03/2023 00:02:11"
"07","28220","079","37","Horta-Guinardó","el Carmel","148","1024","47","719","384","77","162","35754","34739","1015","","","12542","03/03/2023 00:02:11"
"07","28230","080","37","Horta-Guinardó","el Carmel","148","682","22","367","248","42","51","23359","22872","487","","","6103","03/03/2023 00:02:11"
"07","28240","074","37","Horta-Guinardó","el Carmel","148","609","16","381","166","70","39","25843","22559","3284","","","6520","03/03/2023 00:02:11"
"07","28250","074","37","Horta-Guinardó","el Carmel","148","1102","30","666","512","122","32","41450","38536","2914","","","10830","03/03/2023 00:02:11"
"07","28260","071","37","Horta-Guinardó","el Carmel","148","781","24","901","318","472","65","46037","37080","8957","","","11573","03/03/2023 00:02:11"
"07","28271","071","37","Horta-Guinardó","el Carmel","148","64","3","38","32","0","6","2733","2733","0","","","2102","03/03/2023 00:02:11"
"07","28280","120","43","Horta-Guinardó","Horta","156","522","24","342","229","31","39","24883","24027","856","","","6745","03/03/2023 00:02:11"
